Screen ID,Screen name,Object ID,Source RU/EN,ZH (machine),Status
"SYS-DIAGNOSTIC","1-1-1 Diagnostic-filter-process","canvas-sys-diagnostic-text-01","Диагностика","诊断","machine-review-required"
"SYS-DIAGNOSTIC","1-1-1 Diagnostic-filter-process","canvas-sys-diagnostic-text-02","Светофильтры","滤光片","machine-review-required"
"SYS-DIAGNOSTIC","1-1-1 Diagnostic-filter-process","canvas-sys-diagnostic-text-03","W-лампа","W灯","machine-review-required"
"SYS-DIAGNOSTIC","1-1-1 Diagnostic-filter-process","canvas-sys-diagnostic-text-04","Лампы","灯具","machine-review-required"
"SYS-DIAGNOSTIC","1-1-1 Diagnostic-filter-process","canvas-sys-diagnostic-text-05","D2-лампа","D2灯","machine-review-required"
"SYS-DIAGNOSTIC","1-1-1 Diagnostic-filter-process","canvas-sys-diagnostic-text-06","Фотодетектор","光电探测器","machine-review-required"
"PHOT-MAIN-A","3-1-1 Photometry-A-Main-before zero","canvas-phot-main-a-text-01","Фотометрия","光度测定","machine-review-required"
"PHOT-MAIN-A","3-1-1 Photometry-A-Main-before zero","canvas-phot-main-a-text-03","λ = 546.2 нм","λ = 546.2 纳米","machine-review-required"
"PHOT-MAIN-A","3-1-1 Photometry-A-Main-before zero","canvas-phot-main-a-text-04","0.184 A","0.184A","machine-review-required"
"PHOT-MAIN-A","3-1-1 Photometry-A-Main-before zero","canvas-phot-main-a-text-1781682074290","12:05","12:05","machine-review-required"
"PHOT-MAIN-A","3-1-1 Photometry-A-Main-before zero","canvas-phot-main-a-text-1781689283750","n=1","n=1","machine-review-required"
"PHOT-SIGNAL","4-1 Quantitative-submode-curves","canvas-phot-signal-text-01","Колич. анализ","数量分析","machine-review-required"
"PHOT-SIGNAL","4-1 Quantitative-submode-curves","canvas-phot-signal-text-1781873446641","17:05","17:05","machine-review-required"
"PHOT-SIGNAL","4-1 Quantitative-submode-curves","canvas-phot-signal-text-1781875469271","Выберете подрежим","选择子模式","machine-review-required"
"PHOT-SIGNAL","4-1 Quantitative-submode-curves","canvas-phot-signal-text-1781875572802","Градуир. кривая","毕业。曲线","machine-review-required"
"PHOT-SIGNAL","4-1 Quantitative-submode-curves","canvas-phot-signal-text-1781875602339","Коэффициенты","赔率","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-01","Настройки","设置","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-02","Темновой ток","暗电流","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-03","D2-лампа","D2灯","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-04","W-лампа","W灯","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-05","Смена ламп","更换灯具","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-08","Файловая система","文件系统","machine-review-required"
"SET-MAIN","7-1-1 Settings-Dark_current","canvas-set-main-text-1782298114247","17:34","17:34","machine-review-required"
"SHARED-PRINTER-CONNECTED","Printer connected","canvas-shared-printer-connected-text-01","Принтер подключён","打印机已连接","machine-review-required"
"SHARED-PRINTER-DISCONNECTED","Printer disconnected","canvas-shared-printer-disconnected-text-01","Принтер отключён","打印机被禁用","machine-review-required"
"SHARED-PC-CONNECTED","PC connected","canvas-shared-pc-connected-text-01","ПК подключен","已连接电脑","machine-review-required"
"SHARED-USB-NOT-DETECTED","USB-storage connected","canvas-shared-usb-not-detected-text-02","USB-накопитель","USB 闪存驱动器","machine-review-required"
"SHARED-USB-NOT-DETECTED","USB-storage connected","canvas-shared-usb-not-detected-text-1781699055719","подключён","已连接","machine-review-required"
"SHARED-PRINTER-NOT-DETECTED","Printer not connected","canvas-shared-printer-not-detected-text-02","Принтер не подключён","打印机未连接","machine-review-required"
"diagnostic-filter-process-copy","1-1-2 Diagnostic-filter-success","canvas-diagnostic-filter-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-filter-process-copy","1-1-2 Diagnostic-filter-success","canvas-diagnostic-filter-process-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-filter-process-copy","1-1-2 Diagnostic-filter-success","canvas-diagnostic-filter-process-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-filter-process-copy","1-1-2 Diagnostic-filter-success","canvas-diagnostic-filter-process-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-filter-process-copy","1-1-2 Diagnostic-filter-success","canvas-diagnostic-filter-process-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-filter-process-copy","1-1-2 Diagnostic-filter-success","canvas-diagnostic-filter-process-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-filter-success-copy","1-1-3 Diagnostic-filter-fail","canvas-diagnostic-filter-success-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-filter-success-copy","1-1-3 Diagnostic-filter-fail","canvas-diagnostic-filter-success-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-filter-success-copy","1-1-3 Diagnostic-filter-fail","canvas-diagnostic-filter-success-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-filter-success-copy","1-1-3 Diagnostic-filter-fail","canvas-diagnostic-filter-success-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-filter-success-copy","1-1-3 Diagnostic-filter-fail","canvas-diagnostic-filter-success-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-filter-success-copy","1-1-3 Diagnostic-filter-fail","canvas-diagnostic-filter-success-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-filter-fail-copy","1-2-1 Diagnostic-lamps-process","canvas-diagnostic-filter-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-filter-fail-copy","1-2-1 Diagnostic-lamps-process","canvas-diagnostic-filter-fail-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-filter-fail-copy","1-2-1 Diagnostic-lamps-process","canvas-diagnostic-filter-fail-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-filter-fail-copy","1-2-1 Diagnostic-lamps-process","canvas-diagnostic-filter-fail-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-filter-fail-copy","1-2-1 Diagnostic-lamps-process","canvas-diagnostic-filter-fail-copy-text-5","D2-лампа","D2灯","machine-review-required"
